LAT,LON,dist_to_pr_km,WMO_WIND,WMO_PRES,sst_current,sst_anom,sst_climo,merra_slp,merra_t2m,merra_rh2m,merra_u10,merra_v10,nino34,amo,year,month,day,dayofyear,is_hurricane_season,min_dist_7d,count_within_radius_7d,min_dist_30d,count_within_radius_30d,min_dist_365d,count_within_radius_365d,date,impact_next30,region
34.6,-69.0,1836.842112765061, , ,25.724666595458984,-1.2224349975585938,26.97553062438965,,,,,,26.27,-0.02,1996,9,14,258,1,40.93281684217856,2.0,40.93281684217856,2.0,40.93281684217856,2.0,1996-09-14 03:00:00,0,puerto_rico
35.9,-68.4,1973.8742140176903,90,955,25.510332107543945,-1.2719612121582031,26.855037689208984,,,,,,26.27,-0.02,1996,9,14,258,1,40.93281684217856,2.0,40.93281684217856,2.0,40.93281684217856,2.0,1996-09-14 06:00:00,0,puerto_rico
37.1,-67.8,2102.594378249821, , ,25.577333450317383,-1.184743881225586,26.79581642150879,,,,,,26.27,-0.02,1996,9,14,258,1,40.93281684217856,2.0,40.93281684217856,2.0,40.93281684217856,2.0,1996-09-14 09:00:00,0,puerto_rico
38.5,-67.1,2255.485197749683,85,960,24.4776668548584,-1.142324447631836,25.48336601257324,,,,,,26.27,-0.02,1996,9,14,258,1,40.93281684217856,2.0,40.93281684217856,2.0,40.93281684217856,2.0,1996-09-14 12:00:00,0,puerto_rico
40.3,-66.2,2455.379598230367, , ,19.9516658782959,-2.6190013885498047,22.460477828979492,,,,,,26.27,-0.02,1996,9,14,258,1,40.93281684217856,2.0,40.93281684217856,2.0,40.93281684217856,2.0,1996-09-14 15:00:00,0,puerto_rico
42.0,-65.2,2647.4069539402703,75,960,17.042333602905273,-1.633405685424805,20.041484832763672,,,,,,26.27,-0.02,1996,9,14,258,1,40.93281684217856,2.0,40.93281684217856,2.0,40.93281684217856,2.0,1996-09-14 18:00:00,0,puerto_rico
43.4,-64.2,2808.776502706857, , ,16.097000122070312,-0.5860366821289062,16.59380531311035,,,,,,26.27,-0.02,1996,9,14,258,1,40.93281684217856,2.0,40.93281684217856,2.0,40.93281684217856,2.0,1996-09-14 21:00:00,0,puerto_rico
44.3,-63.3,2916.071193121683,70,970,16.229665756225586,-0.4306697845458984,16.793785095214844,,,,,,26.27,-0.02,1996,9,15,259,1,40.93281684217856,2.0,40.93281684217856,2.0,40.93281684217856,2.0,1996-09-15 00:00:00,0,puerto_rico
44.8,-62.5,2979.8214900832104,70,978,,,16.793785095214844,,,,,,26.27,-0.02,1996,9,15,259,1,40.93281684217856,2.0,40.93281684217856,2.0,40.93281684217856,2.0,1996-09-15 03:00:00,0,puerto_rico
45.5,-61.5,3069.6043025550875,65,980,,,16.956565856933594,,,,,,26.27,-0.02,1996,9,15,259,1,40.93281684217856,2.0,40.93281684217856,2.0,40.93281684217856,2.0,1996-09-15 06:00:00,0,puerto_rico
46.0,-60.5,3139.4307511169736, , ,,,16.548141479492188,,,,,,26.27,-0.02,1996,9,15,259,1,40.93281684217856,2.0,40.93281684217856,2.0,40.93281684217856,2.0,1996-09-15 09:00:00,0,puerto_rico
46.3,-59.1,3197.2302401212846,60,982,14.200332641601562,-0.9666337966918944,14.94223976135254,,,,,,26.27,-0.02,1996,9,15,259,1,40.93281684217856,2.0,40.93281684217856,2.0,40.93281684217856,2.0,1996-09-15 12:00:00,0,puerto_rico
46.2,-56.9,3236.2205064983973, , ,14.16266632080078,-0.8346939086914062,14.739324569702148,,,,,,26.27,-0.02,1996,9,15,259,1,40.93281684217856,2.0,40.93281684217856,2.0,40.93281684217856,2.0,1996-09-15 15:00:00,0,puerto_rico
46.0,-55.0,3268.059649715201,40,996,13.847000122070312,-0.7738428115844727,14.97439670562744,,,,,,26.27,-0.02,1996,9,15,259,1,40.93281684217856,2.0,40.93281684217856,2.0,40.93281684217856,2.0,1996-09-15 18:00:00,0,puerto_rico
46.0,-54.5,3283.3645213239333, , ,13.83466625213623,-0.6615800857543945,14.97439670562744,,,,,,26.27,-0.02,1996,9,15,259,1,40.93281684217856,2.0,40.93281684217856,2.0,40.93281684217856,2.0,1996-09-15 21:00:00,0,puerto_rico
46.0,-54.0,3299.2371790982456,40,998,8.868063926696777,-5.487765312194824,14.873278617858888,,,,,,26.27,-0.02,1996,9,16,260,1,40.93281684217856,2.0,40.93281684217856,2.0,40.93281684217856,2.0,1996-09-16 00:00:00,0,puerto_rico
45.6,-52.4,3314.3900722486883, , ,10.095806121826172,-4.7932024002075195,15.050260543823242,,,,,,26.27,-0.02,1996,9,16,260,1,40.93281684217856,2.0,40.93281684217856,2.0,40.93281684217856,2.0,1996-09-16 03:00:00,0,puerto_rico
45.0,-50.0,3351.557277834012,35,999,9.92967700958252,-5.09525203704834,15.247570991516112,,,,,,26.27,-0.02,1996,9,16,260,1,40.93281684217856,2.0,40.93281684217856,2.0,40.93281684217856,2.0,1996-09-16 06:00:00,0,puerto_rico
