LAT,LON,dist_to_miami_km,WMO_WIND,WMO_PRES,sst_current,sst_anom,sst_climo,merra_slp,merra_t2m,merra_rh2m,merra_u10,merra_v10,nino34,amo,year,month,day,dayofyear,is_hurricane_season,min_dist_7d,count_within_radius_7d,min_dist_30d,count_within_radius_30d,min_dist_365d,count_within_radius_365d,date,impact_next30,region
37.5,-54.2,2772.1407799185586,40,1003,24.175806045532227,-0.8360538482666016,24.986175537109375,,,,,,28.05,-0.122,1991,7,5,186,1,24.596485338424262,8.0,24.596485338424262,8.0,24.596485338424262,8.0,1991-07-05 06:00:00,0,miami
37.2,-52.5,2902.988812019319, , ,23.655805587768555,-1.268819808959961,24.897666931152344,,,,,,28.05,-0.122,1991,7,5,186,1,24.596485338424262,8.0,24.596485338424262,8.0,24.596485338424262,8.0,1991-07-05 09:00:00,0,miami
37.0,-50.7,3049.3343626428114,35,1005,23.430967330932617,-1.404815673828125,24.94048309326172,,,,,,28.05,-0.122,1991,7,5,186,1,24.596485338424262,8.0,24.596485338424262,8.0,24.596485338424262,8.0,1991-07-05 12:00:00,0,miami
18.9,-85.7,950.0072952936828,25,1010,29.191612243652344,0.0943069458007812,29.078256607055664,,,,,,27.58,-0.277,1991,10,15,288,1,950.0072952936828,0.0,950.0072952936828,0.0,24.596485338424262,8.0,1991-10-15 00:00:00,0,miami
19.2,-85.4,904.5457581103892, , ,29.185806274414062,0.0718765258789062,29.144756317138672,,,,,,27.58,-0.277,1991,10,15,288,1,904.5457581103892,0.0,904.5457581103892,0.0,24.596485338424262,8.0,1991-10-15 03:00:00,0,miami
19.5,-85.1,859.1519337902353,30,1008,29.194515228271484,0.0608196258544921,29.144756317138672,,,,,,27.58,-0.277,1991,10,15,288,1,859.1519337902353,0.0,859.1519337902353,0.0,24.596485338424262,8.0,1991-10-15 06:00:00,0,miami
19.9,-84.6,792.8664459041585, , ,29.020322799682617,-0.1186370849609375,29.144756317138672,,,,,,27.58,-0.277,1991,10,15,288,1,792.8664459041585,0.0,792.8664459041585,0.0,24.596485338424262,8.0,1991-10-15 09:00:00,0,miami
20.3,-84.1,727.0353855092837,35,1007,29.02838706970215,-0.1068916320800781,29.135082244873047,,,,,,27.58,-0.277,1991,10,15,288,1,727.0353855092837,0.0,727.0353855092837,0.0,24.596485338424262,8.0,1991-10-15 12:00:00,0,miami
20.8,-83.6,652.2676112231218, , ,28.987096786499023,-0.1366329193115234,29.135082244873047,,,,,,27.58,-0.277,1991,10,15,288,1,652.2676112231218,0.0,652.2676112231218,0.0,24.596485338424262,8.0,1991-10-15 15:00:00,0,miami
21.2,-83.1,587.5250005457286,40,1006,28.864837646484375,-0.2373466491699218,29.07326316833496,,,,,,27.58,-0.277,1991,10,15,288,1,587.5250005457286,0.0,587.5250005457286,0.0,24.596485338424262,8.0,1991-10-15 18:00:00,0,miami
21.5,-82.8,543.2355057688543,40,1004,28.809032440185547,-0.2678966522216797,29.07326316833496,,,,,,27.58,-0.277,1991,10,15,288,1,543.2355057688543,0.0,543.2355057688543,0.0,24.596485338424262,8.0,1991-10-15 21:00:00,0,miami
22.4,-81.8,407.8859824293396,40,1004,,,28.618379592895508,,,,,,27.58,-0.277,1991,10,16,289,1,407.8859824293396,0.0,407.8859824293396,0.0,24.596485338424262,8.0,1991-10-16 00:00:00,0,miami
23.2,-81.2,302.5645800646641, , ,28.40709686279297,-0.3392715454101562,28.547204971313477,,,,,,27.58,-0.277,1991,10,16,289,1,302.5645800646641,0.0,302.5645800646641,0.0,24.596485338424262,8.0,1991-10-16 03:00:00,0,miami
23.9,-80.8,215.9174242864559,40,1002,28.458709716796875,0.0064563751220703,28.547204971313477,,,,,,27.58,-0.277,1991,10,16,289,1,215.9174242864559,0.0,215.9174242864559,0.0,24.596485338424262,8.0,1991-10-16 06:00:00,1,miami
24.5,-80.5,143.6842009260671,40,1002,28.33161163330078,-0.0517406463623046,28.26273727416992,,,,,,27.58,-0.277,1991,10,16,289,1,143.6842009260671,1.0,143.6842009260671,1.0,24.596485338424262,9.0,1991-10-16 08:34:00,1,miami
24.6,-80.4,130.86300927062814, , ,28.23516082763672,-0.1535758972167968,28.522808074951172,,,,,,27.58,-0.277,1991,10,16,289,1,130.86300927062814,2.0,130.86300927062814,2.0,24.596485338424262,10.0,1991-10-16 09:00:00,1,miami
25.2,-79.8,73.80874452564571,40,1007,27.032665252685547,-1.367706298828125,28.40752220153809,,,,,,27.58,-0.277,1991,10,16,289,1,73.80874452564571,3.0,73.80874452564571,3.0,24.596485338424262,11.0,1991-10-16 12:00:00,1,miami
25.7,-79.3,89.59379817733854, , ,26.63333320617676,-1.5249004364013672,27.984954833984375,,,,,,27.58,-0.277,1991,10,16,289,1,73.80874452564571,4.0,73.80874452564571,4.0,24.596485338424262,12.0,1991-10-16 15:00:00,1,miami
26.5,-78.5,187.7845680712689,40,1009,26.46966552734375,-1.599508285522461,28.15252685546875,,,,,,27.58,-0.277,1991,10,16,289,1,73.80874452564571,5.0,73.80874452564571,5.0,24.596485338424262,13.0,1991-10-16 18:00:00,1,miami
28.0,-77.2,387.2572370560426, , ,26.18833351135254,-1.5096817016601562,27.78097915649414,,,,,,27.58,-0.277,1991,10,16,289,1,73.80874452564571,5.0,73.80874452564571,5.0,24.596485338424262,13.0,1991-10-16 21:00:00,0,miami
30.0,-75.5,659.2067722267533,40,1009,25.34233283996582,-1.517019271850586,27.041419982910156,,,,,,27.58,-0.277,1991,10,17,290,1,73.80874452564571,5.0,73.80874452564571,5.0,24.596485338424262,13.0,1991-10-17 00:00:00,0,miami
10.8,-35.5,4974.534313086311,25,1010,27.49499893188477,-0.230752944946289,27.802753448486328,,,,,,26.91,-0.396,1992,8,16,229,1,4974.534313086311,0.0,4974.534313086311,0.0,73.80874452564571,5.0,1992-08-16 18:00:00,0,miami
11.0,-36.4,4876.411349488937, , ,27.510332107543945,-0.2293109893798828,27.802753448486328,,,,,,26.91,-0.396,1992,8,16,229,1,4876.411349488937,0.0,4876.411349488937,0.0,73.80874452564571,5.0,1992-08-16 21:00:00,0,miami
11.2,-37.4,4768.557832443761,30,1009,27.316999435424805,-0.4093036651611328,27.6430721282959,,,,,,26.91,-0.396,1992,8,17,230,1,4768.557832443761,0.0,4768.557832443761,0.0,73.80874452564571,5.0,1992-08-17 00:00:00,0,miami
11.4,-38.5,4651.016387345711, , ,27.463333129882812,-0.2540817260742187,27.686323165893555,,,,,,26.91,-0.396,1992,8,17,230,1,4651.016387345711,0.0,4651.016387345711,0.0,73.80874452564571,5.0,1992-08-17 03:00:00,0,miami
11.7,-39.6,4528.715681612021,30,1008,27.55799865722656,-0.112283706665039,27.70613670349121,,,,,,26.91,-0.396,1992,8,17,230,1,4528.715681612021,0.0,4528.715681612021,0.0,73.80874452564571,5.0,1992-08-17 06:00:00,0,miami
12.0,-40.8,4396.771396229194, , ,27.53533172607422,-0.1172428131103515,27.741668701171875,,,,,,26.91,-0.396,1992,8,17,230,1,4396.771396229194,0.0,4396.771396229194,0.0,73.80874452564571,5.0,1992-08-17 09:00:00,0,miami
